INFO 2026-06-24 16:50:02,652 autoreload 4524 13636 Watching for file changes with StatReloader
INFO 2026-06-24 17:10:06,267 basehttp 4524 3908 "GET /api/me/ HTTP/1.1" 200 58
INFO 2026-06-24 17:10:06,568 basehttp 4524 3908 "GET /api/orders/ HTTP/1.1" 200 7415
INFO 2026-06-24 17:10:06,602 basehttp 4524 3908 "GET /api/orders/ HTTP/1.1" 200 7415
INFO 2026-06-24 17:10:07,739 basehttp 4524 11152 "POST /api/token/ HTTP/1.1" 200 563
INFO 2026-06-24 17:10:07,746 basehttp 4524 11152 "GET /api/me/ HTTP/1.1" 200 58
INFO 2026-06-24 17:10:37,427 basehttp 4524 12780 "GET /api/orders/ HTTP/1.1" 200 7415
INFO 2026-06-24 17:10:37,467 basehttp 4524 12780 "GET /api/orders/ HTTP/1.1" 200 7415
INFO 2026-06-24 17:10:52,002 basehttp 4524 11396 "GET /api/orders/ HTTP/1.1" 200 7415
INFO 2026-06-24 17:10:52,036 basehttp 4524 11396 "GET /api/orders/ HTTP/1.1" 200 7415
INFO 2026-06-24 17:10:55,874 basehttp 4524 9548 "GET /api/orders/ HTTP/1.1" 200 7415
INFO 2026-06-24 17:10:55,937 basehttp 4524 9548 "GET /api/orders/ HTTP/1.1" 200 7415
INFO 2026-06-24 17:10:59,756 basehttp 4524 9548 "OPTIONS /api/orders/6/ HTTP/1.1" 200 0
INFO 2026-06-24 17:10:59,760 basehttp 4524 2120 "OPTIONS /api/orders/6/ HTTP/1.1" 200 0
INFO 2026-06-24 17:10:59,776 basehttp 4524 9548 "GET /api/orders/6/ HTTP/1.1" 200 622
INFO 2026-06-24 17:10:59,807 basehttp 4524 9548 "GET /api/orders/6/ HTTP/1.1" 200 622
INFO 2026-06-24 17:11:20,783 basehttp 4524 13348 "OPTIONS /api/orders/6/preview_quotation/ HTTP/1.1" 200 0
INFO 2026-06-24 17:11:20,791 basehttp 4524 13348 "POST /api/orders/6/preview_quotation/ HTTP/1.1" 200 163
INFO 2026-06-24 17:11:27,705 basehttp 4524 13348 "OPTIONS /api/orders/6/send_quotation/ HTTP/1.1" 200 0
INFO 2026-06-24 17:11:27,743 basehttp 4524 13348 "POST /api/orders/6/send_quotation/ HTTP/1.1" 200 111
INFO 2026-06-24 17:11:27,794 basehttp 4524 13348 "GET /api/orders/6/ HTTP/1.1" 200 1113
INFO 2026-06-24 17:11:35,661 basehttp 4524 5384 "GET /api/me/ HTTP/1.1" 200 72
INFO 2026-06-24 17:11:35,696 basehttp 4524 1524 "GET /api/orders/ HTTP/1.1" 200 7906
INFO 2026-06-24 17:11:38,145 basehttp 4524 5384 "OPTIONS /api/orders/6/ HTTP/1.1" 200 0
INFO 2026-06-24 17:11:38,145 basehttp 4524 1524 "OPTIONS /api/orders/6/ HTTP/1.1" 200 0
INFO 2026-06-24 17:11:38,163 basehttp 4524 1524 "GET /api/orders/6/ HTTP/1.1" 200 1113
INFO 2026-06-24 17:11:38,179 basehttp 4524 1524 "GET /api/orders/6/ HTTP/1.1" 200 1113
INFO 2026-06-24 17:11:41,202 basehttp 4524 1524 "OPTIONS /api/quotations/6/customer_decision/ HTTP/1.1" 200 0
INFO 2026-06-24 17:11:41,270 basehttp 4524 1524 "POST /api/quotations/6/customer_decision/ HTTP/1.1" 200 32
INFO 2026-06-24 17:11:42,587 basehttp 4524 1524 "GET /api/orders/6/ HTTP/1.1" 200 1117
INFO 2026-06-24 17:12:00,650 basehttp 4524 13348 "OPTIONS /api/orders/6/submit_inspection/ HTTP/1.1" 200 0
INFO 2026-06-24 17:12:00,688 basehttp 4524 13348 "POST /api/orders/6/submit_inspection/ HTTP/1.1" 200 108
INFO 2026-06-24 17:12:00,718 basehttp 4524 13348 "GET /api/orders/6/ HTTP/1.1" 200 1204
INFO 2026-06-24 17:12:06,760 basehttp 4524 1524 "GET /api/orders/6/ HTTP/1.1" 200 1204
INFO 2026-06-24 17:12:11,343 basehttp 4524 1524 "GET /api/me/ HTTP/1.1" 200 72
INFO 2026-06-24 17:12:11,354 basehttp 4524 1524 "GET /api/me/ HTTP/1.1" 200 72
INFO 2026-06-24 17:12:11,381 basehttp 4524 5384 "GET /api/orders/ HTTP/1.1" 200 7997
INFO 2026-06-24 17:12:11,419 basehttp 4524 1524 "GET /api/orders/ HTTP/1.1" 200 7997
INFO 2026-06-24 17:12:18,726 basehttp 4524 13348 "OPTIONS /api/schedules/ HTTP/1.1" 200 0
INFO 2026-06-24 17:12:18,759 basehttp 4524 13348 "GET /api/schedules/ HTTP/1.1" 200 2539
INFO 2026-06-24 17:12:26,844 basehttp 4524 13348 "GET /api/schedules/ HTTP/1.1" 200 2539
INFO 2026-06-24 17:12:29,279 basehttp 4524 13348 "GET /api/schedules/ HTTP/1.1" 200 2539
INFO 2026-06-24 17:12:29,895 basehttp 4524 13348 "GET /api/schedules/ HTTP/1.1" 200 2539
INFO 2026-06-24 17:12:30,104 basehttp 4524 13348 "GET /api/schedules/ HTTP/1.1" 200 2539
INFO 2026-06-24 17:12:30,287 basehttp 4524 13348 "GET /api/schedules/ HTTP/1.1" 200 2539
INFO 2026-06-24 17:12:30,479 basehttp 4524 13348 "GET /api/schedules/ HTTP/1.1" 200 2539
INFO 2026-06-24 17:12:30,670 basehttp 4524 13348 "GET /api/schedules/ HTTP/1.1" 200 2539
INFO 2026-06-24 17:12:30,870 basehttp 4524 13348 "GET /api/schedules/ HTTP/1.1" 200 2539
INFO 2026-06-24 17:14:04,619 basehttp 4524 9076 "GET /api/schedules/ HTTP/1.1" 200 2539
INFO 2026-06-24 17:14:18,246 basehttp 4524 4308 "GET /api/schedules/ HTTP/1.1" 200 2539
INFO 2026-06-24 17:14:20,871 basehttp 4524 4308 "OPTIONS /api/schedules/6/update_delivery_status/ HTTP/1.1" 200 0
INFO 2026-06-24 17:14:20,945 basehttp 4524 4308 "POST /api/schedules/6/update_delivery_status/ HTTP/1.1" 200 76
INFO 2026-06-24 17:14:20,981 basehttp 4524 4308 "GET /api/schedules/ HTTP/1.1" 200 2531
INFO 2026-06-24 17:14:23,892 basehttp 4524 4308 "POST /api/schedules/6/update_delivery_status/ HTTP/1.1" 200 78
INFO 2026-06-24 17:14:23,932 basehttp 4524 4308 "GET /api/schedules/ HTTP/1.1" 200 2533
INFO 2026-06-24 17:17:24,127 basehttp 4524 4308 "GET /api/schedules/ HTTP/1.1" 200 2533
INFO 2026-06-24 17:17:24,151 basehttp 4524 4308 "GET /api/schedules/ HTTP/1.1" 200 2533
INFO 2026-06-24 17:17:52,698 basehttp 4524 4308 "GET /api/schedules/ HTTP/1.1" 200 2533
INFO 2026-06-24 17:17:52,726 basehttp 4524 4308 "GET /api/schedules/ HTTP/1.1" 200 2533
INFO 2026-06-24 17:18:48,572 basehttp 4524 5480 "GET /api/schedules/ HTTP/1.1" 200 2533
INFO 2026-06-24 17:18:48,603 basehttp 4524 5480 "GET /api/schedules/ HTTP/1.1" 200 2533
INFO 2026-06-24 17:18:53,745 basehttp 4524 5480 "GET /api/schedules/ HTTP/1.1" 200 2533
INFO 2026-06-24 17:18:55,576 basehttp 4524 2664 "GET /api/schedules/ HTTP/1.1" 200 2533
INFO 2026-06-24 17:18:55,599 basehttp 4524 2664 "GET /api/schedules/ HTTP/1.1" 200 2533
INFO 2026-06-24 17:19:35,869 basehttp 4524 14436 "GET /api/schedules/ HTTP/1.1" 200 2533
